dateTime,minuten
2022-12-09(02:50:01),0
2022-12-09(02:55:01),0
2022-12-09(03:00:01),0
2022-12-09(03:05:02),0
2022-12-09(03:10:01),0
2022-12-09(03:15:01),0
2022-12-09(03:20:01),0
2022-12-09(03:25:01),0
2022-12-09(03:30:01),0
2022-12-09(03:35:01),0
2022-12-09(03:40:01),2
2022-12-09(03:45:01),3
2022-12-09(03:50:01),5
2022-12-09(03:55:01),6
2022-12-09(04:00:01),6
2022-12-09(04:05:01),6
2022-12-09(04:10:01),6
2022-12-09(04:15:01),7
2022-12-09(04:20:01),9
2022-12-09(04:25:01),12
2022-12-09(04:30:01),19
2022-12-09(04:35:01),21
2022-12-09(04:40:01),29
2022-12-09(04:45:02),40
2022-12-09(04:50:01),47
2022-12-09(04:55:01),68
2022-12-09(05:00:01),78
2022-12-09(05:05:01),78
2022-12-09(05:10:01),96
2022-12-09(05:15:01),123
2022-12-09(05:20:01),118
2022-12-09(05:25:01),115
2022-12-09(05:30:01),142
2022-12-09(05:35:01),134
2022-12-09(05:40:01),140
2022-12-09(05:45:01),144
2022-12-09(05:50:01),193
2022-12-09(05:55:01),221
2022-12-09(06:00:01),244
2022-12-09(06:05:01),338
2022-12-09(06:10:01),315
2022-12-09(07:15:01),615
2022-12-09(07:20:01),718
2022-12-09(07:25:01),759
2022-12-09(07:30:01),803
2022-12-09(07:35:01),776
2022-12-09(07:40:01),926
2022-12-09(07:45:01),902
2022-12-09(08:25:01),731
2022-12-09(08:30:01),737
2022-12-09(08:35:01),788
2022-12-09(08:40:01),718
2022-12-09(08:45:01),684
2022-12-09(08:50:01),693
2022-12-09(08:55:01),624
2022-12-09(09:00:01),612
2022-12-09(09:05:01),674
2022-12-09(09:10:01),716
2022-12-09(09:15:01),689
2022-12-09(09:20:01),669
2022-12-09(09:25:01),587
2022-12-09(09:30:01),517
2022-12-09(09:35:01),580
2022-12-09(09:40:01),543
2022-12-09(09:45:01),513
2022-12-09(09:50:01),503
2022-12-09(09:55:01),459
2022-12-09(10:00:01),468
2022-12-09(10:05:01),475
2022-12-09(10:10:01),434
2022-12-09(10:35:01),469
2022-12-09(10:40:01),426
2022-12-09(10:45:01),434
2022-12-09(10:50:01),455
2022-12-09(10:53:53),431
2022-12-09(10:55:01),418
2022-12-09(10:55:46),417
2022-12-09(10:56:17),437
2022-12-09(10:56:40),437
2022-12-09(11:00:01),496
2022-12-09(11:30:01),467
2022-12-09(11:35:01),447
2022-12-09(11:36:50),380
2022-12-09(11:47:04),379
2022-12-09(11:47:31),359
2022-12-09(11:50:01),382
2022-12-09(11:52:04),351
2022-12-09(11:53:56),350
2022-12-09(11:54:33),351
2022-12-09(11:55:01),336
2022-12-09(11:58:58),320
2022-12-09(11:59:34),321
2022-12-09(12:00:01),318
2022-12-09(12:03:46),336
2022-12-09(12:04:05),329
2022-12-09(12:04:11),329
2022-12-09(12:05:01),317
2022-12-09(12:10:01),327
2022-12-09(12:15:01),304
2022-12-09(12:20:01),348
2022-12-09(12:25:01),314
2022-12-09(12:30:01),303
2022-12-09(12:35:01),312
2022-12-09(12:40:02),319
2022-12-09(12:45:01),316
2022-12-09(12:50:01),340
2022-12-09(12:55:01),356
2022-12-09(13:00:01),362
2022-12-09(13:05:01),365
2022-12-09(13:10:01),332
2022-12-09(13:12:11),311
2022-12-09(13:15:01),299
2022-12-09(13:18:10),306
2022-12-09(13:20:01),336
2022-12-09(13:25:01),333
2022-12-09(13:30:01),368
2022-12-09(13:35:01),367
2022-12-09(13:40:01),374
2022-12-09(13:45:01),350
2022-12-09(13:50:01),317
2022-12-09(13:55:01),297
2022-12-09(14:00:01),250
2022-12-09(14:05:01),236
2022-12-09(14:10:01),267
2022-12-09(14:15:01),247
2022-12-09(14:20:01),285
2022-12-09(14:25:01),273
2022-12-09(14:30:01),251
2022-12-09(14:35:01),228
2022-12-09(14:40:01),238
2022-12-09(14:45:01),252
2022-12-09(14:50:01),231
2022-12-09(14:55:01),248
2022-12-09(15:00:01),264
2022-12-09(15:05:01),244
2022-12-09(15:10:01),263
2022-12-09(15:15:01),311
2022-12-09(15:20:01),264
2022-12-09(15:25:01),307
2022-12-09(15:25:54),269
2022-12-09(15:30:01),252
2022-12-09(15:35:01),328
2022-12-09(15:40:01),351
2022-12-09(15:45:01),360
2022-12-09(15:50:01),358
2022-12-09(15:55:01),405
2022-12-09(16:00:01),446
2022-12-09(16:05:01),425
2022-12-09(16:10:01),362
2022-12-09(16:15:01),401
2022-12-09(16:20:01),405
2022-12-09(16:25:01),380
2022-12-09(16:30:01),458
2022-12-09(16:35:01),432
2022-12-09(16:40:01),463
2022-12-09(16:45:01),530
2022-12-09(16:50:01),571
2022-12-09(16:55:01),614
2022-12-09(17:00:01),589
2022-12-09(17:05:01),527
2022-12-09(17:10:01),659
2022-12-09(17:15:01),623
2022-12-09(17:20:01),579
2022-12-09(17:25:01),578
2022-12-09(17:30:02),609
2022-12-09(17:35:01),646
2022-12-09(17:40:01),672
2022-12-09(17:45:01),700
2022-12-09(17:50:01),739
2022-12-09(17:55:01),891
2022-12-09(18:00:02),860
2022-12-09(18:05:01),868
2022-12-09(18:10:01),743
2022-12-09(18:15:01),690
2022-12-09(18:20:01),652
2022-12-09(18:25:01),643
2022-12-09(18:30:01),674
2022-12-09(18:35:01),569
2022-12-09(18:40:01),572
2022-12-09(18:45:01),573
2022-12-09(18:50:01),515
2022-12-09(18:55:01),547
2022-12-09(19:00:01),463
2022-12-09(19:05:01),513
2022-12-09(19:10:01),498
2022-12-09(19:15:01),522
2022-12-09(19:20:01),494
2022-12-09(19:25:01),518
2022-12-09(19:30:01),586
2022-12-09(19:35:01),596
2022-12-09(19:40:01),588
2022-12-09(19:45:01),628
2022-12-09(19:50:01),634
2022-12-09(19:55:01),566
2022-12-09(20:00:01),584
2022-12-09(20:05:02),562
2022-12-09(20:10:01),475
2022-12-09(20:15:01),454
2022-12-09(20:20:01),385
2022-12-09(20:25:01),447
2022-12-09(20:30:01),452
2022-12-09(20:35:02),426
2022-12-09(20:40:01),379
2022-12-09(20:45:01),361
2022-12-09(20:50:01),340
2022-12-09(20:55:01),316
2022-12-09(21:00:01),292
2022-12-09(21:05:01),287
2022-12-09(21:10:01),321
2022-12-09(21:15:01),306
2022-12-09(21:20:01),277
2022-12-09(21:25:01),237
2022-12-09(21:30:01),239
2022-12-09(21:35:01),231
2022-12-09(21:40:01),208
2022-12-09(21:45:01),196
2022-12-09(21:50:01),228
2022-12-09(21:55:01),202
2022-12-09(22:00:01),190
2022-12-09(22:05:01),193
2022-12-09(22:10:01),160
2022-12-09(22:15:01),154
2022-12-09(22:20:01),150
2022-12-09(22:25:01),116
2022-12-09(22:30:01),98
2022-12-09(22:35:01),98
2022-12-09(22:40:01),104
2022-12-09(22:45:01),97
2022-12-09(22:50:01),79
2022-12-09(22:55:01),72
2022-12-09(23:00:01),69
2022-12-10(09:45:01),196
2022-12-10(09:50:01),208
2022-12-10(18:05:06),5
2022-12-10(23:45:01),36
2022-12-10(23:50:01),54
2022-12-10(23:55:01),48
2022-12-11(00:00:01),50
2022-12-11(12:00:33),180
2022-12-11(12:05:01),196
2022-12-11(12:10:01),195
2022-12-11(12:15:01),188
2022-12-11(12:20:01),229
2022-12-11(12:23:02),201
2022-12-11(12:23:49),205
2022-12-11(12:25:01),199
2022-12-11(12:30:01),197
2022-12-11(12:35:01),220
2022-12-11(12:40:01),211
2022-12-11(12:45:01),208
2022-12-11(16:45:01),129
2022-12-12(09:50:01),716
2022-12-12(09:55:01),791
2022-12-12(10:00:01),716
2022-12-12(10:05:01),713
2022-12-12(10:10:01),694
2022-12-12(10:15:01),617
2022-12-12(10:20:01),621
2022-12-12(10:25:01),568
2022-12-12(10:30:01),546
2022-12-12(10:35:01),498
2022-12-12(10:40:01),485
2022-12-12(10:45:01),431
2022-12-12(10:50:01),420
2022-12-12(10:55:01),556
2022-12-12(11:00:01),483
2022-12-12(11:05:01),525
2022-12-12(11:10:01),565
2022-12-12(11:15:01),637
2022-12-12(11:20:01),540
2022-12-12(11:25:01),601
2022-12-12(11:30:01),508
2022-12-12(11:35:01),476
2022-12-12(11:40:01),467
2022-12-12(11:45:01),475
2022-12-12(11:50:01),393
2022-12-12(11:55:01),468
2022-12-12(12:00:01),381
2022-12-12(12:05:00),408
2022-12-12(12:10:01),420
2022-12-12(12:15:01),431
2022-12-12(12:20:01),511
2022-12-12(12:25:01),553
2022-12-12(12:30:01),484
2022-12-12(12:35:01),566
2022-12-12(12:40:01),495
2022-12-12(12:45:01),500
2022-12-12(12:50:01),452
2022-12-12(12:55:01),472
2022-12-12(13:00:01),485
2022-12-12(13:05:01),474
2022-12-12(13:10:01),513
2022-12-12(13:15:01),478
2022-12-12(13:20:01),439
2022-12-12(13:25:01),473
2022-12-12(13:30:01),483
2022-12-12(13:35:01),525
2022-12-12(13:40:01),646
2022-12-12(13:45:01),597
2022-12-12(13:50:01),509
2022-12-12(13:55:01),509
2022-12-12(14:00:01),332
2022-12-12(14:05:01),348
2022-12-12(14:10:01),413
2022-12-12(14:15:01),396
2022-12-12(14:20:01),329
2022-12-12(14:25:01),390
2022-12-12(14:30:01),436
2022-12-12(14:35:01),461
2022-12-12(14:40:01),533
2022-12-12(14:45:01),618
2022-12-12(14:50:01),553
2022-12-12(14:55:01),619
2022-12-12(15:00:01),644
2022-12-12(15:05:01),606
2022-12-12(15:10:01),789
2022-12-12(15:15:01),643
2022-12-12(15:20:01),666
2022-12-12(15:25:01),672
2022-12-12(15:30:01),645
2022-12-12(15:35:01),555
2022-12-12(15:40:02),593
2022-12-12(15:45:01),514
2022-12-12(15:50:01),501
2022-12-12(15:55:01),524
2022-12-12(16:00:01),530
2022-12-12(16:05:01),532
2022-12-12(16:10:01),568
2022-12-12(16:15:01),585
2022-12-12(16:20:01),523
2022-12-12(16:25:01),544
2022-12-12(16:30:01),572
2022-12-12(16:35:01),519
2022-12-12(16:40:01),553
2022-12-12(16:45:01),576
2022-12-12(16:50:01),649
2022-12-12(16:55:01),728
2022-12-12(17:00:02),758
2022-12-12(17:05:01),595
2022-12-12(17:10:01),610
2022-12-12(17:15:01),650
2022-12-12(17:20:01),775
2022-12-12(17:25:01),688
2022-12-12(17:30:01),704
2022-12-12(17:35:01),671
2022-12-12(17:40:01),664
2022-12-12(17:45:01),615
2022-12-12(17:50:01),608
2022-12-12(17:55:01),633
2022-12-12(18:00:01),651
2022-12-12(18:05:01),717
2022-12-12(18:10:01),771
2022-12-12(18:15:01),740
2022-12-12(18:20:01),753
2022-12-12(18:25:01),773
2022-12-12(18:30:01),770
2022-12-12(18:35:01),656
2022-12-12(18:40:01),698
2022-12-12(18:45:01),685
2022-12-12(18:50:01),735
2022-12-12(18:55:01),764
2022-12-12(19:00:01),791
2022-12-12(19:05:02),735
2022-12-12(19:10:02),703
2022-12-12(19:15:01),655
2022-12-12(19:20:01),622
2022-12-12(19:25:01),619
2022-12-12(19:30:01),528
2022-12-12(19:35:01),465
2022-12-12(19:40:01),359
2022-12-12(19:45:01),374
2022-12-12(19:50:01),430
2022-12-12(19:55:01),424
2022-12-12(20:00:01),319
2022-12-12(20:05:01),354
2022-12-12(20:10:01),327
2022-12-12(20:15:01),292
2022-12-12(20:20:01),335
2022-12-12(20:25:01),371
2022-12-12(20:30:01),366
2022-12-12(20:35:01),350
2022-12-12(20:40:01),306
2022-12-12(20:45:01),344
2022-12-12(20:50:01),439
2022-12-12(20:55:01),447
2022-12-12(21:00:01),425
2022-12-12(21:05:01),405
2022-12-12(21:10:01),433
2022-12-12(21:15:01),420
2022-12-12(21:20:01),432
2022-12-12(21:25:01),439
2022-12-12(21:30:01),437
2022-12-12(21:35:01),422
2022-12-12(21:40:01),396
2022-12-12(21:45:01),362
2022-12-12(21:50:01),355
2022-12-12(21:55:01),402
2022-12-12(22:00:01),309
2022-12-12(22:05:01),340
2022-12-12(22:10:01),309
2022-12-12(22:15:01),283
2022-12-12(22:20:01),286
2022-12-12(22:25:01),299
2022-12-12(22:30:01),329
2022-12-12(22:35:01),314
2022-12-12(22:40:01),279
2022-12-12(22:45:01),234
2022-12-12(22:50:01),263
2022-12-12(22:55:01),210
2022-12-12(23:00:01),199
2022-12-12(23:05:01),183
2022-12-12(23:10:01),165
2022-12-12(23:15:01),148
2022-12-12(23:20:01),129
2022-12-12(23:25:02),121
2022-12-12(23:30:01),132
2022-12-12(23:35:01),130
2022-12-12(23:40:01),85
2022-12-12(23:45:01),57
2022-12-12(23:50:01),62
2022-12-12(23:55:01),61
2022-12-13(00:00:01),45
2022-12-13(00:05:01),48
2022-12-13(00:10:01),58
2022-12-13(00:15:01),56
2022-12-13(00:20:01),32
2022-12-13(00:25:01),12
2022-12-13(00:30:01),7
2022-12-13(00:35:01),9
2022-12-13(00:40:01),5
2022-12-13(00:45:01),3
2022-12-13(00:50:01),4
2022-12-13(00:55:01),4
2022-12-13(01:00:01),5
2022-12-13(01:05:01),4
2022-12-13(01:10:01),5
2022-12-13(01:15:01),5
2022-12-13(01:20:01),13
2022-12-13(01:25:01),4
2022-12-13(01:30:01),0
2022-12-13(01:35:01),0
2022-12-13(01:40:01),0
2022-12-13(01:45:01),0
2022-12-13(01:50:01),0
2022-12-13(01:55:01),0
2022-12-13(02:00:01),0
2022-12-13(02:05:01),0
2022-12-13(02:10:01),0
2022-12-13(02:15:01),0
2022-12-13(02:20:01),0
2022-12-13(02:25:01),0
2022-12-13(02:30:01),0
2022-12-13(02:35:01),0
2022-12-13(02:40:01),0
2022-12-13(02:45:01),0
2022-12-13(02:50:01),0
2022-12-13(02:55:01),0
2022-12-13(03:00:01),0
2022-12-13(03:05:01),0
2022-12-13(03:10:01),0
2022-12-13(03:15:01),0
2022-12-13(03:20:01),1
2022-12-13(03:25:01),1
2022-12-13(03:30:01),1
2022-12-13(03:35:01),1
2022-12-13(03:40:01),1
2022-12-13(03:45:01),1
2022-12-13(03:50:01),2
2022-12-13(03:55:01),3
2022-12-13(04:00:01),3
2022-12-13(04:05:01),3
2022-12-13(04:10:01),3
2022-12-13(04:15:01),5
2022-12-13(04:20:01),5
2022-12-13(04:25:01),7
2022-12-13(04:30:01),9
2022-12-13(04:35:01),11
2022-12-13(04:40:01),25
2022-12-13(04:45:01),39
2022-12-13(04:50:01),42
2022-12-13(04:55:01),65
2022-12-13(05:00:01),89
2022-12-13(05:05:01),115
2022-12-13(05:10:02),105
2022-12-13(05:15:01),118
2022-12-13(05:20:01),131
2022-12-13(05:25:01),153
2022-12-13(05:30:01),199
2022-12-13(05:35:01),219
2022-12-13(05:40:01),273
2022-12-13(05:45:01),281
2022-12-13(05:50:01),289
2022-12-13(05:55:01),275
2022-12-13(06:00:02),335
2022-12-13(06:05:01),0
2022-12-13(06:10:01),0
2022-12-13(06:15:01),0
2022-12-13(06:20:01),681
2022-12-13(06:25:01),712
2022-12-13(06:30:01),779
2022-12-13(06:35:01),841
2022-12-13(06:40:01),881
2022-12-13(06:45:01),865
2022-12-13(06:50:01),865
2022-12-13(06:55:01),849
2022-12-13(07:00:01),855
2022-12-13(07:05:01),928
2022-12-13(07:15:01),926
2022-12-13(08:35:01),1307
2022-12-13(08:40:01),1251
2022-12-13(08:45:01),1162
2022-12-13(08:50:01),1086
2022-12-13(08:55:01),1073
2022-12-13(09:00:01),999
2022-12-13(09:05:01),931
2022-12-13(09:10:01),959
2022-12-13(09:15:01),931
2022-12-13(09:20:01),913
2022-12-13(09:25:01),885
2022-12-13(09:30:01),830
2022-12-13(09:35:01),808
2022-12-13(09:45:01),822
2022-12-13(09:50:01),777
2022-12-13(09:55:01),745
2022-12-13(10:00:01),791
2022-12-13(10:05:01),763
2022-12-13(10:10:01),738
2022-12-13(10:15:01),660
2022-12-13(10:20:01),663
2022-12-13(10:25:01),618
2022-12-13(10:30:01),763
2022-12-13(10:35:02),647
2022-12-13(10:40:02),744
2022-12-13(10:47:41),645
2022-12-13(10:50:01),638
2022-12-13(10:55:01),654
2022-12-13(11:00:01),692
2022-12-13(11:05:01),610
2022-12-13(11:10:01),587
2022-12-13(11:15:01),582
2022-12-13(11:20:01),661
2022-12-13(11:25:01),570
2022-12-13(11:45:01),729
2022-12-13(11:50:01),590
2022-12-28(11:15:01),198
2022-12-28(11:20:01),218
2022-12-28(11:25:01),293
2022-12-28(11:30:01),363
2022-12-28(11:35:01),362
2022-12-28(11:40:01),308
2022-12-28(11:45:01),299
2022-12-28(11:50:01),310
2022-12-28(11:55:01),217
2022-12-28(12:00:01),229
2022-12-28(12:05:01),277
2022-12-28(12:10:01),279
2022-12-28(12:15:01),286
2022-12-28(12:20:01),269
2022-12-28(12:25:01),272
2023-01-04(13:30:53),164
2023-01-04(13:35:01),164
2023-01-04(13:40:01),171
2023-01-04(13:45:01),164
2023-01-04(13:50:01),144
2023-01-04(13:55:01),147
2023-01-04(16:55:01),439
2023-01-04(17:00:01),550
2023-01-04(17:05:01),605
2023-01-04(17:10:01),551
2023-01-04(17:15:01),505
2023-01-04(17:20:01),421
2023-01-04(20:05:02),331
2023-01-04(20:10:01),295
2023-01-25(13:05:01),199
2023-01-25(13:10:01),214
2023-01-25(13:15:02),291
2023-01-25(13:20:01),292
2023-01-25(14:00:01),294
2023-01-25(15:15:01),297
2023-01-25(15:20:01),262
2023-01-25(15:25:02),274
2023-01-25(15:30:02),268
2023-01-25(15:38:10),225
2023-01-25(15:40:02),236
2023-01-25(16:20:01),440
2023-01-25(16:25:14),453
2023-01-25(17:05:01),595
2023-01-25(17:10:02),584
2023-01-25(17:15:01),565
2023-01-25(17:20:01),538
2023-01-25(17:25:01),527
2023-01-25(17:30:01),517
2023-01-25(17:35:01),485
2023-01-25(17:40:01),505
2023-01-25(17:45:01),493
2023-01-25(17:50:01),503
2023-01-25(17:55:01),580
2023-01-25(18:00:01),648
2023-01-25(18:05:01),593
2023-01-25(18:10:01),559
2023-01-25(18:15:01),586
2023-01-25(18:20:01),590
2023-01-25(18:25:01),529
2023-01-25(18:30:02),447
2023-01-25(18:35:01),435
2023-01-25(18:40:01),454
2023-01-25(18:45:01),503
2023-01-25(18:50:01),487
2023-01-25(18:55:01),499
2023-01-25(19:00:01),476
2023-01-25(19:05:01),456
2023-01-25(19:10:01),467
2023-01-25(19:15:01),453
2023-01-25(19:20:01),452
2023-01-25(19:25:01),373
2023-01-25(19:30:01),346
2023-01-25(19:35:01),328
2023-01-25(19:40:01),332
2023-01-25(19:45:01),314
2023-01-25(19:50:01),304
2023-01-25(19:55:01),278
2023-01-25(20:00:01),262
2023-01-25(20:05:01),264
2023-01-25(20:10:01),239
2023-01-25(20:15:01),253
2023-01-25(20:20:01),232
2023-01-25(20:25:01),232
2023-01-25(20:30:01),272
2023-01-25(20:35:01),278
2023-01-25(20:40:01),251
2023-01-25(20:45:01),274
2023-01-25(20:50:01),200
2023-01-25(20:55:01),193
2023-01-25(21:00:01),190
2023-01-25(21:10:01),164
2023-01-25(21:15:01),195
2023-01-25(21:20:01),247
2023-01-25(21:25:01),251
2023-01-25(21:30:01),263
2023-01-25(21:35:01),193
2023-01-25(21:40:01),193
2023-01-25(21:45:01),210
2023-01-25(21:50:01),223
2023-01-25(21:55:01),191
2023-01-25(22:00:01),212
2023-01-25(22:05:01),204
