rit,minuten,halte
S61 Wavre -- Jambes,24,Aiseau,2022-12-09(09:50:01)
S4 Malines -- Alost,22,Etterbeek,2022-12-09(09:55:01)
S1 Nivelles -- Anvers-Central,25,Vilvoorde,2022-12-09(10:00:01)
S1 Nivelles -- Anvers-Central,25,Vilvoorde,2022-12-09(10:05:01)
S1 Nivelles -- Anvers-Central,25,Vilvoorde,2022-12-09(10:10:01)
S1 Nivelles -- Anvers-Central,36,Kontich-Lint,2022-12-09(10:35:01)
S1 Nivelles -- Anvers-Central,36,Kontich-Lint,2022-12-09(10:40:01)
S1 Nivelles -- Anvers-Central,35,Sint-Katelijne-Waver,2022-12-09(10:45:01)
S1 Nivelles -- Anvers-Central,34,Mechelen,2022-12-09(10:50:01)
S1 Nivelles -- Anvers-Central,35,Sint-Katelijne-Waver,2022-12-09(10:53:53)
S1 Nivelles -- Anvers-Central,35,Sint-Katelijne-Waver,2022-12-09(10:55:01)
IC Brussels Airport - Zaventem -- Ostende,36,Brussel-Noord,2022-12-09(10:55:46)
IC Brussels Airport - Zaventem -- Ostende,36,Brussel-Noord,2022-12-09(10:56:17)
IC Brussels Airport - Zaventem -- Ostende,37,Brussel-Noord,2022-12-09(10:56:40)
IC Brussels Airport - Zaventem -- Ostende,38,Brussel-Noord,2022-12-09(11:00:01)
S2 Louvain -- Braine-Le-Comte,29,Brussel-Zuid,2022-12-09(11:30:01)
S8 Louvain-La-Neuve -- Bruxelles-Midi,27,Brussel-Centraal,2022-12-09(11:35:01)
L Liege-Guillemins -- Namur,18,Ampsin,2022-12-09(11:36:50)
S64 Charleroi-Sud -- Couvin,21,Philippeville,2022-12-09(11:47:04)
S64 Charleroi-Sud -- Couvin,21,Philippeville,2022-12-09(11:47:31)
S4 Malines -- Alost,19,Etterbeek,2022-12-09(11:50:01)
S4 Malines -- Alost,19,Etterbeek,2022-12-09(11:52:04)
S4 Malines -- Alost,19,Etterbeek,2022-12-09(11:53:56)
S4 Malines -- Alost,18,Delta,2022-12-09(11:54:33)
S4 Malines -- Alost,18,Delta,2022-12-09(11:55:01)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(11:58:58)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(11:59:34)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(12:00:01)
IC Anvers-Central -- La Panne,18,Gent-Dampoort,2022-12-09(12:03:46)
S4 Malines -- Alost,20,Meiser,2022-12-09(12:04:05)
S4 Malines -- Alost,20,Meiser,2022-12-09(12:04:11)
S4 Malines -- Alost,21,Meiser,2022-12-09(12:05:01)
S4 Malines -- Alost,21,Meiser,2022-12-09(12:10:01)
S2 Louvain -- Braine-Le-Comte,17,Schaarbeek,2022-12-09(12:15:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,21,Flemalle-Haute,2022-12-09(12:20:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,21,Flemalle-Haute,2022-12-09(12:25:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,19,Hoei,2022-12-09(12:30:01)
IC Bruxelles-Midi -- Liege-Saint-Lambert,19,Statte,2022-12-09(12:35:01)
IC Brussels Airport - Zaventem -- Knokke,24,Heist,2022-12-09(12:40:02)
IC Brussels Airport - Zaventem -- Knokke,32,Heist,2022-12-09(12:45:01)
IC Brussels Airport - Zaventem -- Knokke,32,Heist,2022-12-09(12:50:01)
IC Brussels Airport - Zaventem -- Knokke,32,Heist,2022-12-09(12:55:01)
IC Brussels Airport - Zaventem -- Knokke,30,Brugge,2022-12-09(13:00:01)
IC Brussels Airport - Zaventem -- Knokke,30,Brugge,2022-12-09(13:05:01)
IC Brussels Airport - Zaventem -- Knokke,30,Brugge,2022-12-09(13:10:01)
L Malines -- Zeebrugge-Dorp,23,Beernem,2022-12-09(13:12:11)
L Malines -- Zeebrugge-Dorp,23,Beernem,2022-12-09(13:15:01)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:18:10)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:20:01)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:25:01)
L Malines -- Zeebrugge-Dorp,24,Aalter,2022-12-09(13:30:01)
L Malines -- Zeebrugge-Dorp,35,Bellem,2022-12-09(13:35:01)
L Malines -- Zeebrugge-Dorp,33,Landegem,2022-12-09(13:40:01)
L Malines -- Zeebrugge-Dorp,33,Landegem,2022-12-09(13:45:01)
L Malines -- Zeebrugge-Dorp,34,Gent-Sint-Pieters,2022-12-09(13:50:01)
L Malines -- Zeebrugge-Dorp,34,Gent-Sint-Pieters,2022-12-09(13:55:01)
L Malines -- Zeebrugge-Dorp,30,Merelbeke,2022-12-09(14:00:01)
L Malines -- Zeebrugge-Dorp,31,Melle,2022-12-09(14:05:01)
L Malines -- Zeebrugge-Dorp,31,Kwatrecht,2022-12-09(14:10:01)
L Malines -- Zeebrugge-Dorp,31,Schellebelle,2022-12-09(14:15:01)
L Malines -- Zeebrugge-Dorp,31,Wichelen,2022-12-09(14:20:01)
L Malines -- Zeebrugge-Dorp,31,Schellebelle,2022-12-09(14:25:01)
L Malines -- Zeebrugge-Dorp,30,Dendermonde,2022-12-09(14:30:01)
S42 Liers -- Flemalle-Haute,26,Ougree,2022-12-09(14:35:01)
S42 Liers -- Flemalle-Haute,30,Ougree,2022-12-09(14:40:01)
S42 Liers -- Flemalle-Haute,36,Ougree,2022-12-09(14:45:01)
S42 Liers -- Flemalle-Haute,41,Ougree,2022-12-09(14:50:01)
S42 Liers -- Flemalle-Haute,46,Ougree,2022-12-09(14:55:01)
S42 Liers -- Flemalle-Haute,51,Ougree,2022-12-09(15:00:01)
S42 Liers -- Flemalle-Haute,56,Ougree,2022-12-09(15:05:01)
S42 Liers -- Flemalle-Haute,61,Ougree,2022-12-09(15:10:01)
S42 Liers -- Flemalle-Haute,65,Ougree,2022-12-09(15:15:01)
S42 Liers -- Flemalle-Haute,67,Ougree,2022-12-09(15:20:01)
S42 Liers -- Flemalle-Haute,67,Ougree,2022-12-09(15:25:01)
S42 Liers -- Flemalle-Haute,67,Ougree,2022-12-09(15:25:54)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,40,Marchienne-Au-Pont,2022-12-09(15:30:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,42,Roux,2022-12-09(15:35:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,41,Luttre,2022-12-09(15:40:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,41,Luttre,2022-12-09(15:45:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,41,Luttre,2022-12-09(15:50:01)
IC Liege-Saint-Lambert -- Tournai,45,Hoei,2022-12-09(15:55:01)
IC Liege-Saint-Lambert -- Tournai,43,Statte,2022-12-09(16:00:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,42,Eigenbrakel,2022-12-09(16:05:01)
IC Liege-Saint-Lambert -- Tournai,41,Andenne,2022-12-09(16:10:01)
IC Liege-Saint-Lambert -- Tournai,41,Andenne,2022-12-09(16:15:01)
IC Liege-Saint-Lambert -- Tournai,38,Namen,2022-12-09(16:20:01)
IC Liege-Saint-Lambert -- Tournai,38,Namen,2022-12-09(16:25:01)
IC Liege-Saint-Lambert -- Tournai,38,Namen,2022-12-09(16:30:01)
IC Liege-Saint-Lambert -- Tournai,38,Namen,2022-12-09(16:35:01)
IC Liege-Saint-Lambert -- Tournai,38,Namen,2022-12-09(16:40:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,34,Nijvel,2022-12-09(16:45:01)
IC Liege-Saint-Lambert -- Tournai,33,Ottignies,2022-12-09(16:50:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,34,Eigenbrakel,2022-12-09(16:55:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,36,Waterloo,2022-12-09(17:00:01)
IC Liege-Guillemins -- Mons,30,Tamines,2022-12-09(17:05:01)
S19 Brussels Airport - Zaventem -- Charleroi-Sud,35,Linkebeek,2022-12-09(17:10:01)
IC Liege-Guillemins -- Mons,30,Tamines,2022-12-09(17:15:01)
IC Liege-Guillemins -- Mons,29,Namen,2022-12-09(17:20:01)
IC Liege-Guillemins -- Mons,29,Namen,2022-12-09(17:25:01)
IC Liege-Guillemins -- Mons,29,Namen,2022-12-09(17:30:02)
IC Liege-Guillemins -- Mons,29,Namen,2022-12-09(17:35:01)
IC Liege-Guillemins -- Mons,29,Andenne,2022-12-09(17:40:01)
IC Namur -- Tournai,31,Bergen,2022-12-09(17:45:01)
S81 Schaerbeek -- Ottignies,64,Brussel-Schuman,2022-12-09(17:50:01)
S81 Schaerbeek -- Ottignies,63,Etterbeek,2022-12-09(17:55:01)
S81 Schaerbeek -- Ottignies,63,Etterbeek,2022-12-09(18:00:02)
P Mons -- Quevy,61,Genly,2022-12-09(18:05:01)
S1 Nivelles -- Anvers-Central,33,Brussel-Zuid,2022-12-09(18:10:01)
IC Schaerbeek -- Courtrai,41,Burst,2022-12-09(18:15:01)
IC Schaerbeek -- Courtrai,41,Burst,2022-12-09(18:20:01)
IC Schaerbeek -- Courtrai,43,Zottegem,2022-12-09(18:25:01)
IC Schaerbeek -- Courtrai,44,Zottegem,2022-12-09(18:30:01)
IC Schaerbeek -- Courtrai,44,Zottegem,2022-12-09(18:35:01)
IC Schaerbeek -- Courtrai,43,Oudenaarde,2022-12-09(18:40:01)
S1 Nivelles -- Anvers-Central,42,Vilvoorde,2022-12-09(18:45:01)
S1 Nivelles -- Anvers-Central,42,Vilvoorde,2022-12-09(18:50:01)
S1 Nivelles -- Anvers-Central,43,Weerde,2022-12-09(18:55:01)
S1 Nivelles -- Anvers-Central,26,Vilvoorde,2022-12-09(19:00:01)
S1 Nivelles -- Anvers-Central,22,Mechelen,2022-12-09(19:05:01)
S5 Malines -- Enghien,22,Weerde,2022-12-09(19:10:01)
S5 Malines -- Enghien,22,Vilvoorde,2022-12-09(19:15:01)
IC Namur -- Tournai,24,Tamines,2022-12-09(19:20:01)
IC Essen -- Charleroi-Sud,24,Brussel-Noord,2022-12-09(19:25:01)
S62 Luttre -- Charleroi-Sud,31,Marchienne-Au-Pont,2022-12-09(19:30:01)
S62 Luttre -- Charleroi-Sud,31,Marchienne-Au-Pont,2022-12-09(19:35:01)
S62 Luttre -- Charleroi-Sud,31,Marchienne-Au-Pont,2022-12-09(19:40:01)
S62 Luttre -- Charleroi-Sud,30,Carnieres,2022-12-09(19:45:01)
S62 Luttre -- Charleroi-Sud,29,La Louviere-Zuid,2022-12-09(19:50:01)
S62 Luttre -- Charleroi-Sud,28,La Louviere- Centrum,2022-12-09(19:55:01)
S62 Luttre -- Charleroi-Sud,29,La Louviere- Centrum,2022-12-09(20:00:01)
IC Essen -- Charleroi-Sud,34,Eigenbrakel,2022-12-09(20:05:02)
